osmid,lat,lon,street_count
104492612,40.4062444,-79.9323311,3
104493033,40.4021609,-80.0001409,3
104493062,40.4028663,-80.0009627,3
104493415,40.4194375,-79.9244145,3
104493423,40.4208072,-79.9244634,1
104493481,40.4237536,-79.9207333,3
104493502,40.4228323,-79.9200606,1
104493930,40.4717798,-79.898487,3
104493941,40.4715508,-79.8992037,3
104493949,40.4715241,-79.8992703,3
104494071,40.487225,-80.0328253,3
104494103,40.4872701,-80.032446,3
104494119,40.4872068,-80.0302573,3
104494794,40.4875317,-79.9296269,3
104494805,40.4873872,-79.9294443,3
104494992,40.4290366,-80.0560892,4
104495010,40.4286492,-80.0554171,1
104495820,40.4688368,-79.9035806,3
104495830,40.4693438,-79.9039448,1
104495853,40.4695782,-79.9054465,4
104495863,40.4697547,-79.9052762,1
104495940,40.4698917,-79.9059785,3
104495947,40.4695693,-79.9062977,3
104496020,40.3981026,-79.980226,1
104496040,40.3974145,-79.9823687,1
104496113,40.4573046,-80.0691776,3
104496221,40.3875029,-80.0175722,1
